wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q101225458,Milojko Spajić,Milojko Spajić,male,1988-01-01,9,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740239,ministar finansija i socijalnog staranja,Q101225458-3b71110e-4ed5-8094-b001-35a8c2c4ddf5
Q101229810,Đorđe Radulović,Đorđe Radulović,male,1984-01-01,9,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740254,ministar vanjskih poslova,Q101229810-167E7B34-C601-4E28-93C5-FD041555B72C
Q103824558,Sergej Sekulović,Sergej Sekulović,male,1978-01-01,9,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740231,ministar unutrašnjih poslova,Q103824558-628ecc8e-435c-ba0e-5704-bf4fa530be0d
Q103824558,Sergej Sekulović,Sergej Sekulović,male,1978-01-01,9,,,Q107740265,,Q103824558-769FE82A-38D2-489A-9FFD-009C5CF50C8F
Q104417661,Jakov Milatović,Jakov Milatović,male,1983-01-01,9,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q109848471,ministar ekonomskog razvoja,Q104417661-5BA022C5-5078-4312-9740-40389E5004CC
Q104417662,Tamara Srzentić,Tamara Srzentić,female,1982-01-01,9,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740261,"ministarka javne uprave, digitalnog društva i medija",Q104417662-317CC527-51CB-4A76-9821-2043D15B420F
Q104519289,Vesna Bratić,Vesna Bratić,female,1977-05-25,11,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740236,"ministarka prosvjete, nauke, kulture i sporta",Q104519289-f4ea5a0e-4a1c-ff94-400b-db9d92815f8c
Q104597629,Olivera Injac,Olivera Injac,female,1976-01-01,9,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740257,ministarka odbrane,Q104597629-4E22CBAD-1F2C-42CD-B0D1-A84C4D7866E3
Q105585422,Aleksandar Stijović,Aleksandar Stijović,male,1981-01-27,11,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740253,"ministar poljoprivrede, šumarstva i vodoprivrede",Q105585422-269B3B7A-5DE4-4919-9B8F-B2CC4FC546C9
Q107402198,Ratko Mitrović,Ratko Mitrović,male,1956-01-01,9,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740259,"ministar ekologije, prostornog planiranja i urbanizma",Q107402198-F9F787D5-C7D5-46ED-9D5F-20481F005870
Q107740208,Jelena Borovinić-Bojović,Jelena Borovinić-Bojović,female,1975-08-29,11,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740255,ministarka zdravlja,Q107740208-9B7B9C5F-9291-42BA-AD86-EC68F401BA70
Q16353146,Dritan Abazović,Dritan Abazovic,male,1985-12-25,11,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q17073595,potpredsjednik Vlade Crne Gore,Q16353146-7A591E90-B2BC-4AAC-ADB9-8390053B2BB3
Q50703477,Mladen Bojanić,Mladen Bojanić,male,1962-11-14,11,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q107740256,ministar kapitalnih investicija,Q50703477-77020749-6A68-491E-B0B4-A63A478CCFD7
Q97999161,Zdravko Krivokapić,Zdravko Krivokapić,male,1958-09-02,11,https://www.gov.me/vlada-crne-gore/sastav-vlade,2021-12-01,Q2353252,predsjednik Vlade Crne Gore,Q97999161-3C4F0D31-F778-45B3-9AD4-04413FF02ED0
