item,itemLabel,startDate,endDate,psid
Q110047093,Strahinja Bulajić,2022-02-07,2022-04-20,Q110047093-246b571d-4811-2913-02a2-074e41627a2b
Q110865110,Vesna Perović,2001-06-07,2002-11-05,Q110865110-FF95B82F-7A1A-482A-AE8B-DB9842E1A042
Q111748499,Danijela Đurović,2022-04-28,,Q111748499-3028E1FD-1D12-4816-A298-6E352A53210B
Q12752123,Ivan Brajović,2016-11-24,2020-09-23,Q12752123-129DFBC2-135F-4F59-A54B-46239E503010
Q16089456,Darko Pajović,2016-06-01,2016-11-07,Q16089456-FB3C8627-AA24-46C4-AAC4-EA0F6A5DC353
Q2631716,Ranko Krivokapić,2003-07-30,2016-05-19,Q2631716-4C8CE769-3DCC-4395-8342-DAB789A04BB0
Q28723561,Aleksa Bečić,2020-09-23,2022-02-07,Q28723561-7ED2F18A-4B20-428A-82F5-A020B4A772F1
Q431413,Svetozar Marović,1994-12-12,2001-06-07,Q431413-E3E1BD88-7A5A-4320-8A22-04BBE31538C1
Q57542,Filip Vujanović,2002-11-05,2003-07-30,Q57542-56436D08-F440-4E04-B24E-8AB5C9C7C1C9
